depth,Total 210Pb_activity (Bq/kg),Error Total 210Pb_activity (Bq/kg),Sed. Rate (cm/y),Error Sed. Rate (cm/y),Year (CRS),Age (CRS),Error Age (CRS)
0,,,,,2021.39,0,0
0.13,861.74,85.48,0.3463,0.0369,2021.04,0.36,0.05
1.13,723.7,82.19,0.0994,0.0118,2014.55,6.85,0.81
2.13,858.52,71.62,0.1345,0.013,2005.23,16.16,1.31
3.13,817.98,72.36,0.1152,0.0119,1997.21,24.18,1.63
4.13,713.98,57.27,0.0812,0.0082,1986.84,34.55,2.13
5.13,389.7,34.27,0.0313,0.0047,1964.39,57,3.93
6.13,64.04,18.93,0.0738,0.0363,1931.98,89.42,10.27
7.13,69.86,29.78,0.0601,0.031,1916.73,104.67,11.32
8.13,101.09,33.38,0.0152,0.0062,1883.78,137.61,13.12
9.13,0,36.86,,,,,
10.13,0,38.4,,,,,
16.25,28.99,28.29,,,,,
