midpoint,chla,d15N,d13C,Al,P,Zn,Cd,S.cons,S.exi
0.25,0.022176222,-0.64,-25.87,14000,2600,250,0.71,38.49765258,10.56338028
0.75,0.025026887,,,14000,2100,280,1,47.56756757,13.51351351
1.25,0.013690439,0.26,-25.76,,,,,42.2705314,16.18357488
1.75,0.010647135,,,14000,1200,300,1.7,46.26556017,14.52282158
2.25,0.010039421,0.07,-26.03,16000,1900,330,1.5,40.73170732,7.804878049
3.25,0.007658783,-0.08,-26.6,,,,,42.09245742,9.245742092
4.25,0.006100146,-0.01,-26.95,16000,990,300,1.9,41.30434783,20.38043478
5.25,0.005243351,1.17,-27.35,,,,,45.81005587,0
6.25,0.004957943,0.71,-26.53,16000,330,280,2.3,52.82608696,17.39130435
7.25,0.004362498,-1.52,-26.6,,,,,54.16666667,10.83333333
8.25,0.004554173,0.24,-26.28,14000,340,240,1.9,49.40617577,14.01425178
9.25,0.004330465,0.66,-26.53,,,,,48.51485149,19.30693069
10.25,0.00420908,-1.41,-25.6,14000,350,240,2,43.58353511,18.6440678
11.25,0.004022489,,,,,,,38.2585752,16.88654354
12.25,0.003673758,-0.99,-25.72,13000,370,220,2,41.49184149,17.24941725
13.25,0.003863242,,,,,,,31.78082192,20.2739726
14.25,0.004031121,-0.06,-26.47,13000,380,210,1.9,27.4611399,21.24352332
15.25,0.003197245,,,,,,,29.9734748,23.87267905
16.25,0.002629803,-0.28,-25.55,12000,430,230,2.1,23.86934673,25.6281407
17.25,0.001640142,,,,,,,26.34146341,20.73170732
18.25,0.002120906,-2.52,-25.12,16000,400,250,2.5,24.93887531,26.89486553
19.25,0.002256401,,,,,,,18.1122449,21.93877551
20.25,0.001910826,-3.43,-24.7,18000,370,260,2.1,13.98963731,19.17098446
